a52dec 0.7.4-9
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpdclient 2.10-1
libmpeg2 0.5.1-5
libndp 1.6-1
libnewt 0.52.19-1
libnfs 1.11.0-1
libnftnl 1.0.7-1
libnl 3.2.29-2
libnm-glib 1.4.2-1
libnotify 0.7.7-1
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libpaper 1.1.24-9
libpcap 1.8.1-2
libpciaccess 0.13.5-1
libpeas 1.20.0-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libpng 1.6.29-1
libproxy 0.4.13-1
libpulse 10.0-3
libraw1394 2.1.2-1
librsvg 2:2.40.17-1
libsamplerate 0.1.9-1
libsasl 2.1.26-11
libseccomp 2.3.2-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.28-1
libsodium 1.0.11-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libssh 0.7.5-2
libssh2 1.8.0-1
libsystemd 232-8
libtar 1.2.20-2
libtasn1 4.12-1
libteam 1.23-1
libtermkey 0.18-2
libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-1
libtiger 0.3.4-4
libtirpc 1.0.1-3
libtool 2.4.6-6
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2.1-1
libupnp 1.6.20-1
libusb 1.0.21-2
libusb-compat 0.1.5-1
libutempter 1.1.6-2
libutil-linux 2.29.2-2
libuv 1.10.0-1
libva 1.8.2-1
libvdpau 1.1.1-2
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.22-1
libwbclient 4.5.1-1
libwebp 0.6.0-1
libx11 1.6.5-1
libx264 2:148.20170519-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.1-1
libxkbcommon-x11 0.6.1-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+16+g07418011-2
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
licenses 20140629-1
lightdm 1:1.18.3-1
lightdm-gtk-greeter 1:2.0.2-1
lilv 0.22.0-2
linux 4.8.6-1
linux-api-headers 4.10.1-1
linux-firmware 20161005.9c71af9-1
lirc 1:0.9.4.b-1
llvm-libs 4.0.0-3
lm_sensors 3.4.0-2
logrotate 3.10.0-1
lua 5.3.3-1
lua52 5.2.4-1
lv2 1.14.0-2
lvm2 2.02.166-1
lxappearance 0.6.2-1
lynx 2.8.8-4
lz4 1:1.7.5-1
lzo 2.10-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.5-4
man-pages 4.08-1
mdadm 3.4-1
mesa 17.1.2-1
mime-types 9-1
mkinitcpio 21-1
mkinitcpio-busybox 1.24.2-1
mozilla-common 1.4-4
mpd 0.19.19-2
mpfr 3.1.5-1
mpg123 1.23.8-1
mplayer 37857-1
mpv 1:0.21.0-2
msgpack-c 2.0.0-1
mtdev 1.1.5-1
nano 2.7.1-1
ncmpcpp 0.7.7-1
ncurses 6.0+20170527-1
neovim 0.1.6-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
networkmanager 1.4.2-1
nmap 7.31-1
noto-fonts 20170428-1
npth 1.2-1
nspr 4.15-1
nss 3.31-3
obconf 2.0.4-4
ocl-icd 2.2.9-1
openbox 3.6.1-3
opencore-amr 0.1.5-1
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openssh 7.3p1-2
openssl 1.1.0.f-1
opus 1.1.5-1
orc 0.4.26+2+g249c709-1
os-prober 1.71-1
p11-kit 0.23.7-1
package-query 1.8-1
pacman 5.0.1-4
pacman-mirrorlist 20161101-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.6+9+g92cc73c8-1
pangomm 2.40.1-1
parted 3.2-4
patch 2.7.5-1
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.40-1
pcre2 10.22-1
perl 5.26.0-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-ipc-system-simple 1.25-1
pinentry 0.9.7-3
pixman 0.34.0-1
pkg-config 0.29.1-2
polkit 0.113-4
popt 1.16-8
portsmf 228-2
procps-ng 3.3.12-1
psmisc 22.21-3
pulseaudio 9.0-1
pygobject-devel 3.24.1-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
python 3.6.1-1
python-cairo 1.13.3-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-gobject 3.24.1-1
python2 2.7.13-2
python2-cairo 1.10.0-2
python2-gobject2 2.28.6-12
python2-keybinder2 0.3.1-1
python2-notify 0.1.1-13
python2-numpy 1.13.0-1
qt4 4.8.7-10
qt5-base 5.7.0-3
qt5-script 5.7.0-1
randrproto 1.5.0-1
ranger 1.7.2-1
re2 20160901-1
readline 7.0.003-1
recode 3.6-9
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rtkit 0.11+6+g417bb7d-1
rtmpdump 1:2.4.r96.fa8646d-2
rubberband 1.8.1-3
run-parts 4.7-1
rxvt-unicode 9.22-2
rxvt-unicode-terminfo 9.22-2
s-nail 14.8.14-1
sbc 1.3-1
